pallid vinaceous-drab	#BFB9BD
pallid violet	#B3BCE2
pallid violet-blue	#B3BCE2
pansy purple	#673147
pansy violet	#875692
paris blue	#0067A5
paris green	#93C592
parrot green	#8A9A5B
parula blue	#91A3B0
patent blue	#004958
payne's gray	#536878
peach red	#CB6D51
peacock blue	#007791
peacock green	#8A9A5B
pea green	#7D8984
pearl blue	#C0C8E1
pearl gray	#B9B8B5
pecan brown	#A67B5B
perilla purple	#673147
persian blue	#BCD4E6
persian lilac	#C17E91
petunia violet	#602F6B
phenyl blue	#30267A
phlox pink	#B695C0
phlox purple	#9E4F88
picric yellow	#E9E450
pinard yellow	#FADA5E
pinkish buff	#F4C2C2
pinkish cinnamon	#E3A857
pinkish vinaceous	#D9A6A9
pistachio green	#679267
pleroma violet	#7E73B8
plumbago blue	#9690AB
plumbago gray	#8B8589
plumbeous	#91A3B0
plumbeous black  	#36454F
plum purple	#2F2140
pois green	#8F9779
pompeian red	#AB4E52
porcelain blue	#66AABC
porcelain green	#317873
primrose yellow	#EAE679
primuline yellow	#D4AF37
prout's brown	#6F4E37
prune purple	#563C5C
prussian blue	#0067A5
prussian green	#004B49
prussian red	#905D5D
puritan gray	#81878B
purple	#870074
purple-drab	#796878
purplish gray	#796878
purplish lilac	#B784A7
purplish vinaceous	#AD8884
pyrite yellow	#98943E
quaker drab	#8B8589
rainette green	#8A9A5B
raisin black	#50404D
raisin purple	#5D3954
ramier blue	#9690AB
raw sienna	#BE8A3D
reed yellow	#B9B459
rejane green	#93C592
rhodamine purple	#CE4676
rhodonite pink	#C17E91
rinnemann's green	#8A9A5B
rivage green	#C9DC89
rocellin purple	#DE6FA1
roman green	#665D1E
rood's blue	#00A1C2
rood's brown	#977F73
rood's lavender	#AA98A9
rood's violet	#702963
rose color	#DE6FA1
rose doree  	#E66761
rose pink	#EFBBCC
rose-purple 	#D399E6
rose red	#BE0032
roslyn blue	#272458
rosolane pink	#FFC8D6
rosolane purple	#B3446C
royal purple	#604E81
rufous	#CB6D51
russet	#6F4E37
russet-vinaceous	#905D5D
russian blue	#BCD4E6
russian green	#5E716A
saccardo's olive	#967117
saccardo's slate	#51585E
saccardo's umber	#7E6D5A
saccardo's violet	#875692
safrano pink	#F88379
sage green	#8DA399
sailor blue	#545AA7
salmon-buff  	#E3A857
salmon color	#D9A6A9
salmon-orange	#ED872D
salvia blue	#30267A
sanford's brown	#AE6938
sanford's brown	#80461B
sayal brown	#996515
scarlet	#D9603B
scarlet-red 	#BE0032
scheele's green	#7E9F2E
schoenfeld's purple	#78184A
sea-foam green  	#EBE8A4
sea-foam yellow  	#EAE679
sea green	#317873
seal brown	#5C504F
seashell pink	#ECD5C5
sepia	#483C32
serpentine green	#867E36
shamrock green	#679267
shell pink	#ECD5C5
shrimp pink	#F4C2C2
skobeloff green	#007A74
