blue grass	#004B49
blue gray	#81878B
blue gray	#848482
blue green	#93C592
blue green	#367588
blue grotto	#66AABC
blue haze	#555555
blue heaven	#70A3CC
blue horizon	#91A3B0
blue hour	#367588
blue idol	#317873
bluejay	#00304E
blue jewel	#007791
blue lavender	#8C92AC
blue light	#BCD4E6
blue lightning	#0067A5
blue lotus	#70A3CC
blue mist	#91A3B0
blue ochre	#536878
blue orchid	#536878
blue plum	#50404D
blue prose	#9CD1DC
blue ridge	#B3BCE2
blue sapphire	#367588
blue shadow	#367588
blue spruce	#5E716A
blue spruce	#3B7861
blue spruce	#3A4B47
bluesteel	#536878
blue striping	#0067A5
blue swirl	#66AABC
bluet	#436B95
blue tease	#9CD1DC
blue tint	#E9E9ED
blue tint	#C7E6D7
blue turquoise	#66AABC
blue turquoise	#239EBA
blue turquoise	#66AABC
blue untramarine ash	#436B95
blue verditer	#436B95
blue-violet	#9065CA
blue violet	#8791BF
blue-violet black	#555555
blue waltz	#96DED1
blue wash	#E9E9ED
bluish black	#202428
bluish black	#202830
bluish glaucous	#96DED1
bluish gray	#51585E
bluish gray-green	#5E716A
bluish green	#002A29
bluish lavender	#8C82B6
bluish olive	#31362B
bluish pink	#AF868E
bluish red	#A8516E
bluish slate-black	#36454F
bluish violet	#2F2140
bluish violet	#9065CA
bluish white	#E9E9ED
blunket	#B4BCC0
blush	#D9A6A9
blush	#A67B5B
blush rose	#905D5D
blush rose	#915F6D
blush yellow	#FAD6A5
boa	#93C592
bobolink	#7E6D5A
bog	#8F9779
bohemian blue	#436B95
bois de rose	#905D5D
bokhara	#673147
bole	#79443B
bole armoniack	#79443B
bolus	#79443B
bombay	#6F4E37
bone brown	#3B3121
bone brown	#5B504F
bonfire	BC3F4A
bonito	#5B504F
bonnie blue	#00A1C2
bonnie blue	#30267A
bordeaux	#915F6D
bordeaux	#673147
bordeaux  + 	#AB4E52
boreal	#79443B
bosphorus	#3A4B47
botticelli	#702963
bottle green	#004B49
bottle green	#5E716A
bottle green	#1B4D3E
bottle green	#1B4D3E
bougainville	#915C83
bougainvillea	#CE4676
boulevard	#5B504F
bounding main	#70A3CC
bouquet green	#6AAB8E
bouquet green	#83D37D
bouquet orchid	#D6CADD
bouquet yellow	#F8DE7E
bourgeon	#8A9A5B
box green	#8A9A5B
bracken	#3B3121
bradley's blue	#00A1C2
bradley's violet	#604E81
bramble	#2F2140
bran	#C19A6B
brass	#C9AE5D
brass	#AB9144
brazen yellow	#C9AE5D
brazil brown	#43302E
brazil 	#9E4732
brazil red	#9E4732
brazilwood	#905D5D
breath of spring	#C9DC89
bremen blue	#317873
bremen blue	#66AABC
bremen green	#679267
brewster green	#4A5D23
briar	#6F4E37
briarwood	#3E322C
brickdust	#841B2D
brick red	#D9603B
brick red	#6F4E37
brick red	#79443B
brick red	#674C47
brick red	#80461B
brick red	#722F37
bridal rose	#C08081
bridesmaid pink	#EFBBCC
brigand	#CB6D51
bright aqua	#66AABC
bright aqua blue	#66AABC
bright aqua green	#66ADA4
bright blue	#00A1C2
bright blue	#0067A5
bright blue	#436B95
bright blue	#0067A5
bright blue green	#007959
bright bluish green	#008882
bright bluish red	#CE4676
bright bluish violet	#9065CA
bright cerulean blue	#436B95
bright chalcedony yellow	#C9DC89
bright chartreuse	#7E9F2E
bright chartreuse yellow	#BEB72E
bright cherry red	BC3F4A
bright copen blue	#0067A5
bright coral red	#D9603B
bright coral rose	#CB6D51
bright dutch blue	#545AA7
bright emerald green	#007A74
bright fuchsia purple	#78184A
bright fuchsia rose	#A8516E
bright gold	#AF8D13
bright green	#008856
bright green	#3B7861
bright green	#00543D
bright green	#007A74
bright greenish blue	#0085A1
bright greenish yellow	#DCD300
bright green-yellow	#8DB600
bright jade green	#007A74
bright kelly green	#007959
bright lavender	#86608E
bright lemon yellow	#DCD300
bright lime green	#83D37D
bright maize	#EAA221
bright marigold	#EAA221
bright melon yellow	#E3A857
bright mint green	#3EB489
bright navy	#4E5180
bright nile green	#93C592
bright oliver green 	#4A5D23
bright orange	#F38400
bright orange	#ED872D
bright peach	#D99058
bright peacock blue	#007791
bright periwinkle blue	#8C82B6
bright red	#BE0032
bright red	BC3F4A
bright red violet	#9E4F88
bright reddish blue	#30267A
bright reddish orange	#E25822
bright reddish violet	#870074
bright reddish yellow	#F3C300
bright rose	#915F6D
bright rose	#A8516E
bright rose violet	#DE6FA1
bright shell pink	#D9A6A9
bright sun	#FADA5E
bright teal	#317873
bright teal blue	#004958
bright teal green	#317873
bright turquoise	#007A74
bright turquoise blue	#007791
bright turquoise green	#317873
bright ultramarine	#545AA7
bright violet	#9A4EAE
bright violet	#86608E
bright violet	#86608E
bright yellow	#F3C300
bright yellow	#C9AE5D
bright yellow	#FADA5E
bright yellowish green	#27A64C
bright yellowish orange	#F6A600
bright yellowish red	#E25822
brilliant blue	#007791
brilliant green	#004B49
brilliant green	#6AAB8E
brilliant green	#44944A
brilliant peacock blue	#007791
brilliant yellow	#F3C300
brimstone 	#EAE679
brittany	#536878
brittany blue	#367588
broccoli brown	#5B504F
broncho	#3B3121
bronze	#826644
bronze	#6C541E
bronze brown	#5B504F
bronze clair	#AE9B82
bronze gold	#C9AE5D
bronze green	#515744
bronze lustre	#5B5842
bronze mist	#867E36
bronze nude	#6C541E
bronze pink	#D99058
bronze red	#AB4E52
bronzesheen	#5B5842
bronze sheen	#5B5842
bronze yellow	#BE8A3D
bronzio	#79443B
brook green	#96DED1
brown	#422518
brown	#422518
brown	#7E6D5A
brown	#7E6D5A
brown	#6F4E37
brown bay	#635147
brown bistre	#967117
brown-black	#5B504F
brown bread	#6F4E37
brown carmine	#722F37
brownish black	#28201C
brownish black	#3E322C
brownish drab	#958070
brownish gray	#BFB8A5
brownish gray	#5B504F
brownish olive	#6C541E
brownish olive	#6C541E
brownish vinaceous	#AD8884
brownish white	#F0EAD6
brownish yellow	#C19A6B
brown lake	#905D5D
brown madder	#79443B
brown mahogany	#79443B
brown ochre	#D99058
brown olive	#967117
brown orange	#C9AE5D
brown pink	#996515
brown purple	#796878
brown red	#79443B
brown red	#674C47
brown stone	#635147
brownstone	#635147
brown striping	#593319
brown sugar	#7E6D5A
brown violet	#915F6D
bruges	#36454F
bruges	#51585E
brunneo-vinosus	#673147
brushwood	#635147
brussels brown	#7E6D5A
brussels brown	#6F4E37
bubalinus	#F3E5AB
buccaneer	#9E4732
buccaneer	BC3F4A
buckskin	#958070
buckskin tan	#FAD6A5
buckthorn berries	#E3A857
buckthorn brown	#967117
buckthorn brown	#996515
buddha	#AB4E52
bud green	#44944A
buff	#E3A857
buff	#C19A6B
buff	#C2B280
buff	#D99058
buff	#BE8A3D
buff	#E3A857
buff	#BFB8A5
buff	#F3E5AB
buff	#C19A6B
buffalo	#826644
buff citron	#C2B280
buff-pink	#D9A6A9
buffy brown	#826644
buffy citrine	#967117
buff-yellow	#C9AE5D
buffy olive	#867E36
bulgare	#905D5D
bunny	#826644
bure	#826644
burel	#6F4E37
burgundy	#291E29
burgundy	#43302E
burgundy	#38152C
burgundy violet	#875692
burlwood	#AE9B82
burma	#AE6938
burmese gold	#CB6D51
burmese ruby	#722F37
burn blue	#8C92AC
burn blue	#8791BF
burnished gold	#967117
burnished straw	#A67B5B
burnous	#FAD6A5
burnt	#A18F60
burnt almond	#6F4E37
burnt carmine	#AB4E52
burnt coral	#CB6D51
burnt crimson lake	#AB4E52
burnt italian earth	#9E4732
burnt italian ochre	#9E4732
burnt lake	#AB4E52
burnt lake	#5D3954
burnt ochre	#CB6D51
burnt orange	#D9603B
burnt orange	#CB6D51
burnt orange	#ED872D
burnt orange	#AE6938
burnt roman ochre	#ED872D
burnt rose	#79443B
burnt russet	#79443B
burnt sienna	#9E4732
burnt sienna	#882D17
burnt terre verte	#6F4E37
burnt umber	#6F4E37
burnt umber	#674C47
burnt yellow	#E3A857
buttercup	#F3C300
buttercup yellow	#C2B280
buttercup 	#C2B280
butterfly	#B9B459
butterfly blue	#0067A5
butterfly yellow	#EAE679
butternut	#6C541E
butterscotch	#826644
butterscotch	#996515
butter yellow	#F8DE7E
byron	#483C32
byzantine	#CE4676
byzantium	#5D3954
cabaret	#6AAB8E
cabbage	#C7E6D7
cabbage green	#7D8984
cab green	#1B4D3E
cacao	#826644
cacao brown	#80461B
cacao brown	#A87C6D
cacha	#6F4E37
cachou	#6F4E37
cactus	#355E3B
cadet	#536878
cadet blue	#436B95
cadet blue	#436B95
cadet blue	#536878
cadet gray	#91A3B0
cadet gray	#536878
cadet grey	#81878B
cadmium carmine	BC3F4A
cadmium green	#007959
cadmium lemon	#E9E450
cadmium orange	#ED872D
cadmium orange	#ED872D
cadmium orange	#ED872D
cadmium purple	#AB4E52
cadmium vermilion	#AB4E52
cadmium yellow	#E3A857
cadmium yellow	#EAA221
caen stone	#FAD6A5
caeruleo-glaucus	#91A3B0
caeruleo-griseus	#8C92AC
caeruleum	#00A1C2
caeruleus	#91A3B0
caesius	#4C516D
caf&eacute;-au-lait	#958070
caf&eacute; cr&egrave;me	#826644
caf&eacute; noir	#483C32
cairo	#00416A
calabash	#967117
calamine blue	#66AABC
calamine blue	#66AABC
caldera	#79443B
caledonian brown	#80461B
caliaturwood	#AB4E52
california color	#6F4E37
california gold	#E3A857
california green	#A18F60
california green	#7D8984
california poppy	#EAA221
calla green	#8A9A5B
calla green	#665D1E
calliste green	#8A9A5B
calliste green	#7E9F2E
cambridge blue	#66ADA4
cambridge red	#905D5D
camel	#5B504F
camel	#967117
camellia	#AB4E52
camelia pink	#F88379
camelia rose	#E4717A
camelia rose	#EA9399
camels hair	#7E6D5A
cameo	#F9CCCA
cameo blue	#66ADA4
cameo brown	#674C47
cameo brown	#674C47
cameo green	#8DA399
cameo pink	#C3A6B1
cameo pink	#EFBBCC
cameo pink	#EFBBCC
cameo rose	#FAD6A5
cameo rose	#F4C2C2
cameo yellow	#F3E5AB
cam&eacute;rier	#563C5C
campanula	#604E81
campanula blue	#8791BF
campanula blue	#7E73B8
campanula purple	#836479
campanula violet	#9065CA
campanula violet	#836479
camwood	#AB4E52
canard	#004958
canary-bird green	#AB9144
canary bronze	#F3C300
canary green	#AB9144
canary yellow	#F3C300
canary 	#C9AE5D
canary yellow	#FADA5E
canary yellow	#EAE679
canary yellow	#F8DE7E
candida	#AF868E
candida	#D597AE
candy pink	#E66761
canna	#79443B
cannon	#1A2421
canterbury	#604E97
canton	#317873
canton 	#00304E
canton jade	#317873
canyon	#673147
canyon brown	#635147
cappagh	#6F4E37
cappah brown	#6F4E37
capri	#007791
capri blue	#007791
capri blue	#367588
caprice	#870074
caprice	#D6CADD
caprice lavender	#E8E3E5
caprice pink	#A8516E
capsicum red	#E25822
capucine	#C9AE5D
capucine buff	#FAD6A5
capucine buff	#FAD6A5
capucine lake	#D99058
capucine madder	#D99058
capucine orange	#D99058
capucine red	#D9603B
capucine yellow	#D99058
capucine yellow	#EAA221
caput mortuum	#79443B
caraibe	#7E6D5A
caramel	#A67B5B
caramel	#A67B5B
caramel brown	#422518
caramel cream	#FAD6A5
caravan	#977F73
carbuncle	#43302E
cardinal	#722F37
cardinal	#841B2D
cardinal red	#BE0032
cardinal 	#BE0032
carmine	#BE0032
carmine	BC3F4A
carmine	#A8516E
carmine lake	BC3F4A
carmine lake	#A8516E
carmine rose	#E4717A
carmine rose	#A8516E
carnation	#C2B280
carnation green	#7D8984
carnation 	#AB4E52
carnation rose	#EA9399
carnelian	#B4745E
carnelian red	#CB6D51
carnelian red	#D9603B
carnival red	BC3F4A
carnival red	#BE0032
carob brown	#6F4E37
carob brown	#3E1D1E
caroubier	#6F4E37
carrara green	#1B4D3E
carrot red	#D99058
carrot red	#CB6D51
carthamus red	#BE0032
carthamus rose	#BE0032
cartouche	#6F4E37
cartridge buff	#C2B280
cartridge buff	#F3E5AB
cascade	#66ADA4
cashew	#6F4E37
cashew lake	#6F4E37
cashew nut	#635147
cashoo	#6F4E37
casino pink	#B3446C
cassel brown	#6F4E37
cassel earth	#6F4E37
cassel yellow	#C9AE5D
casserole	#79443B
castaneous	#635147
castaneus	#43302E
castellon	#79443B
castile earth	#6F4E37
castilian blue	#0067A5
castilian brown	#79443B
castilian red	#BE0032
castor	#5B504F
castor gray	#4E5755
castor grey	#4E5755
catalpa	#796878
catawba	#2E1D21
catawba	#673147
catchup	#9E4732
cate	#6F4E37
catechu	#6F4E37
cathay	#996515
cathedral	#2F2140
cathedral	#291E29
cathedral blue	#4E5180
